Customer ID,Gender
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
12,1
13,1
15,1
18,1
20,1
21,2
22,1
23,1
24,1
28,1
29,1
30,2
33,1
34,1
37,1
38,1
39,1
42,1
43,1
44,1
47,2
49,1
53,2
54,1
56,2
60,1
61,1
62,1
69,1
70,1
72,2
73,1
77,1
80,1
104,1
105,1
131,1
218,2
255,1
261,1
262,1
263,1
264,1
265,2
266,2
267,1
328,2
334,1
336,2
357,1
398,1
429,1
516,1
530,2
532,2
534,1
540,1
567,1
568,1
572,2
637,1
644,1
689,1
702,1
703,1
704,2
707,1
711,2
718,2
727,1
728,1
753,1
754,1
756,1
757,1
760,1
788,1
819,1
848,2
873,2
890,2
894,1
895,1
898,2
905,1
912,1
922,1
946,1
984,2
1012,2
1042,1
1055,2
1062,2
1067,2
1074,2
1082,1
1092,1
1103,2
1111,1
1127,1
1136,1
1137,2
1147,2
1152,1
1157,1
1159,1
1161,1
1162,2
1169,1
1173,1
1196,2
1200,1
1211,2
1213,1
1214,1
1225,1
1235,2
1239,1
1241,1
1248,1
1292,2
1308,2
1311,2
1319,1
1320,1
1326,2
1336,2
1363,1
1419,2
1425,2
1449,1
1453,1
1460,1
1467,2
1469,2
1480,1
1508,2
1515,1
1543,2
1579,2
1601,2
1604,2
1619,1
1620,1
1646,2
1661,2
1675,1
1711,2
1716,1
1728,2
1735,2
1743,1
1752,2
1753,2
1809,1
1815,2
1834,2
1836,2
1851,2
1873,2
1903,2
1907,1
1915,1
1955,2
1958,1
1979,2
1996,2
1998,2
2010,2
2021,2
2046,2
2048,1
2056,1
2072,1
2074,2
2078,1
2124,1
2128,1
2177,1
2200,1
2208,1
2209,2
2212,1
2229,2
2234,2
2245,2
2258,2
2269,1
2273,2
2298,2
2320,1
2327,2
2328,2
2406,2
2408,1
2415,1
2445,1
2450,2
2463,2
2499,1
2510,2
2526,1
2552,2
2558,2
2566,2
2598,2
2606,1
2615,2
2625,2
2651,2
2671,1
2689,2
2730,1
2762,2
2781,2
2871,2
2881,1
2899,2
2906,2
2920,2
2932,1
2952,1
2955,2
2959,2
2975,2
3012,2
3018,1
3027,1
3045,2
3111,1
3114,2
3123,1
3131,2
3163,2
3168,1
3169,2
3176,2
3201,1
3224,1
3253,1
3265,1
3308,1
3332,2
3342,2
3379,2
3381,2
3383,1
3385,1
3400,2
3416,1
3417,2
3418,1
3430,2
3435,1
3451,1
3455,2
3457,2
3471,1
3520,1
3537,1
3571,2
3591,2
3630,1
3737,2
3742,1
3745,1
